spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.994041708044
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.00496524329692
1,0,0,1,1,1,1,1,1,0,0,0,0,0,0.994041708044
1,0,0,1,0,0,0,1,0,1,1,1,1,0,0.997020854022
1,1,1,0,1,1,0,0,1,0,0,0,0,0,0.993048659384
0,0,1,0,1,0,0,0,0,1,1,1,1,0,0.0297914597815
0,1,0,1,0,0,1,1,1,0,0,0,0,1,0.00496524329692
0,1,0,1,0,1,1,0,1,0,0,0,1,1,0.0109235352532
0,1,0,1,0,1,1,1,0,0,0,0,0,0,0.0119165839126
0,0,1,0,0,0,0,0,1,1,1,1,0,1,0.000993048659384
0,0,1,1,1,0,0,0,1,1,1,1,0,1,0.0278053624628
0,0,0,1,0,1,1,1,1,0,0,0,0,1,0.00595829195631
0,0,1,1,0,0,1,1,1,1,1,1,1,0,0.00695134061569
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.000993048659384
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.00496524329692
0,0,1,0,0,0,0,1,1,1,0,0,0,0,0.000993048659384
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.000993048659384
0,1,1,0,0,0,1,1,1,0,1,1,0,0,0.0178748758689
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.00595829195631
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0.00297914597815
0,0,0,1,0,0,0,0,1,1,0,1,0,1,0.00297914597815
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.00297914597815
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.00695134061569
0,0,0,1,0,0,0,1,0,1,0,0,1,1,0.00297914597815
0,0,0,0,1,0,0,1,1,0,0,0,0,1,0.0287984111221
0,1,1,0,0,0,0,1,1,1,0,1,0,1,0.00297914597815
0,0,0,0,0,1,0,0,1,1,0,1,1,1,0.00695134061569
0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.000993048659384
0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.00297914597815
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.000993048659384
0,0,1,1,0,1,0,1,0,1,1,0,0,1,0.00695134061569
0,0,1,1,0,0,0,1,1,1,1,1,1,0,0.00297914597815
0,1,0,0,0,0,0,0,1,1,0,0,1,1,0.0109235352532
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0.00297914597815
1,1,1,0,1,1,0,0,1,1,0,0,0,1,0.994041708044
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0.00198609731877
0,0,1,1,0,0,0,0,1,0,1,0,1,1,0.00297914597815
0,0,0,1,0,0,0,1,0,0,1,1,0,1,0.00297914597815
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00297914597815
0,1,1,1,1,0,0,0,1,0,0,1,0,1,0.00893743793446
0,1,1,1,0,0,0,0,1,0,0,1,0,1,0.00496524329692
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.0119165839126
0,1,0,0,0,0,1,0,1,0,0,1,1,0,0.0109235352532
0,1,1,0,1,0,1,1,1,1,0,0,0,1,0.0218470705065
0,0,1,0,0,0,0,1,1,0,1,1,0,1,0.000993048659384
0,0,1,1,0,0,1,1,1,0,0,0,1,0,0.00595829195631
0,1,0,1,0,0,0,1,1,1,1,1,1,0,0.00496524329692
0,1,1,1,0,0,0,1,0,1,0,1,1,0,0.00496524329692
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.00397219463754
0,1,0,1,0,0,0,0,1,1,1,0,0,0,0.00397219463754
0,1,0,1,1,0,1,0,0,0,1,1,0,0,0.00297914597815
0,0,0,1,0,0,1,0,1,0,1,1,0,0,0.00496524329692
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.000993048659384
0,1,0,1,1,0,1,1,0,0,0,0,1,0,0.00297914597815
0,1,0,1,0,0,0,1,0,0,1,1,1,1,0.00496524329692
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.000993048659384
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000993048659384
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000993048659384
0,1,0,1,1,0,0,1,0,1,1,1,0,0,0.0109235352532
0,0,1,0,0,0,0,1,1,0,0,1,0,1,0.000993048659384
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.000993048659384
0,0,0,1,0,0,1,1,0,1,0,1,0,1,0.00496524329692
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.000993048659384
0,1,0,1,1,1,1,0,1,1,0,1,0,1,0.0158887785501
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.000993048659384
0,1,1,1,1,0,1,0,1,1,0,0,1,1,0.0119165839126
0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.00297914597815
0,0,0,0,1,1,1,0,0,0,1,1,1,0,0.00695134061569
0,1,1,0,0,0,0,1,1,0,1,1,0,0,0.00198609731877
0,0,0,1,0,1,0,1,0,0,0,1,1,0,0.00595829195631
0,0,1,1,1,1,1,0,0,1,1,0,0,1,0.00595829195631
0,1,0,1,0,0,1,1,0,0,1,1,1,1,0.00397219463754
0,0,1,0,1,0,1,1,1,0,0,1,0,0,0.00695134061569
0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.00397219463754
0,0,0,1,1,0,1,0,1,1,0,1,1,1,0.00297914597815
0,0,1,0,0,1,1,1,0,0,1,1,1,0,0.00595829195631
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.000993048659384
0,0,0,1,0,0,1,0,0,0,1,1,0,1,0.00496524329692
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.000993048659384
0,0,1,1,1,1,1,1,0,0,1,1,1,0,0.00695134061569
0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.00496524329692
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,0,1,0,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,0,0,0,1,1,1,1,0.000993048659384
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.000993048659384
0,1,1,0,0,1,0,0,1,1,1,1,1,0,0.0119165839126
1,1,0,0,0,0,1,1,0,0,1,1,1,0,0.994041708044
0,0,1,1,1,0,1,0,0,0,1,0,1,1,0.00297914597815
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.000993048659384
0,0,0,0,0,0,1,1,1,0,1,0,1,1,0.00695134061569
0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.00893743793446
