spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,0,1,1,0,1,1,0,0,1,0,1,0,1,0.992055610725
1,1,1,1,0,1,1,0,1,0,0,1,1,1,0.181727904667
1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.994041708044
1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.994041708044
0,0,1,1,1,1,0,0,1,0,1,1,0,0,0.00695134061569
0,0,0,0,0,1,1,1,0,0,1,1,1,0,0.00695134061569
1,1,0,1,1,1,1,1,0,0,0,0,1,1,0.992055610725
0,0,0,0,0,0,1,0,0,1,1,1,0,0,0.00695134061569
1,1,0,1,0,1,1,0,0,1,0,1,1,0,0.994041708044
1,0,1,0,0,0,0,0,0,0,1,1,0,1,0.993048659384
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012909632572
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000993048659384
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.00993048659384
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.000993048659384
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.00297914597815
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0287984111221
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.00695134061569
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.000993048659384
0,0,1,0,0,0,0,1,1,1,1,0,0,0,0.000993048659384
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.000993048659384
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0.000993048659384
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,0,1,0,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,1,0,1,1,1,0,0,0.0
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.000993048659384
0,0,1,0,0,0,0,1,1,1,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,1,1,0,0.000993048659384
0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,0,0,0,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,1,1,0,1,1,1,0,0.000993048659384
0,0,0,0,0,0,0,1,0,1,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,1,0,1,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.000993048659384
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.000993048659384
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.000993048659384
0,0,0,0,0,0,0,1,0,1,1,1,0,1,0.000993048659384
0,0,1,0,0,0,0,1,0,1,1,1,0,1,0.000993048659384
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.000993048659384
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.000993048659384
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,1,1,0,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.000993048659384
0,0,1,0,0,0,0,1,0,1,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.0
0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,0,1,1,1,1,0,0,0.000993048659384
0,0,0,0,0,0,0,0,1,1,1,0,1,1,0.000993048659384
0,0,1,0,0,0,0,1,1,1,1,0,1,0,0.000993048659384
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,0,0,1,1,1,1,0,0.000993048659384
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,0,1,1,1,1,1,0,0.000993048659384
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,0,1,0,1,1,1,0,0.000993048659384
0,0,1,0,0,0,0,1,1,1,1,1,1,0,0.000993048659384
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.000993048659384
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.000993048659384
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.0
0,0,1,0,0,0,0,1,0,1,1,0,0,1,0.000993048659384
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.000993048659384
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.000993048659384
